Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Low Fat,0.15229502,Fruits and Vegetables,150.505,OUT049,Medium,Tier 1,Supermarket Type1,2696.49
Low Fat,0.17885337,Health and Hygiene,36.8532,OUT049,Medium,Tier 1,Supermarket Type1,1150.5024
Low Fat,0.232086113,Breads,89.4856,OUT049,Medium,Tier 1,Supermarket Type1,1054.6272
Low Fat,0.223139206,Dairy,45.0744,OUT049,Medium,Tier 1,Supermarket Type1,452.744
Regular,0.225657336,Fruits and Vegetables,110.1544,OUT049,Medium,Tier 1,Supermarket Type1,1565.9616
Regular,0.15275339,Meat,210.3586,OUT049,Medium,Tier 1,Supermarket Type1,6331.758
Low Fat,0.262582185,Soft Drinks,224.772,OUT049,Medium,Tier 1,Supermarket Type1,7017.532
Low Fat,0.140690731,Baking Goods,73.3354,OUT049,Medium,Tier 1,Supermarket Type1,451.4124
Low Fat,0.135230526,Meat,61.4194,OUT049,Medium,Tier 1,Supermarket Type1,743.0328
Low Fat,0.113008699,Household,176.737,OUT049,Medium,Tier 1,Supermarket Type1,4940.236
Low Fat,0.277621343,Snack Foods,104.2964,OUT049,Medium,Tier 1,Supermarket Type1,1998.7316
Low Fat,0.175410764,Fruits and Vegetables,48.2034,OUT049,Medium,Tier 1,Supermarket Type1,1020.6714
Low Fat,0.141789271,Fruits and Vegetables,115.6808,OUT049,Medium,Tier 1,Supermarket Type1,703.0848
Regular,0.129643448,Meat,37.9532,OUT049,Medium,Tier 1,Supermarket Type1,862.8768
Low Fat,0.166664998,Frozen Foods,151.6708,OUT049,Medium,Tier 1,Supermarket Type1,3912.2408
Regular,0.181522357,Fruits and Vegetables,257.1646,OUT049,Medium,Tier 1,Supermarket Type1,6183.9504
Low Fat,0.175952298,Canned,76.0986,OUT049,Medium,Tier 1,Supermarket Type1,623.1888
Low Fat,0.179975118,Fruits and Vegetables,46.2086,OUT049,Medium,Tier 1,Supermarket Type1,490.6946
Low Fat,0.173890602,Soft Drinks,111.686,OUT049,Medium,Tier 1,Supermarket Type1,1584.604
Low Fat,0.103,Fruits and Vegetables,111.9518,OUT049,Medium,Tier 1,Supermarket Type1,2163.1842
Regular,0.114143599,Snack Foods,88.254,OUT049,Medium,Tier 1,Supermarket Type1,1125.202
Low Fat,0.117045832,Household,222.7746,OUT049,Medium,Tier 1,Supermarket Type1,1570.6222
Regular,0.186736551,Frozen Foods,178.7318,OUT049,Medium,Tier 1,Supermarket Type1,3428.2042
Low Fat,0.131365524,Household,110.0912,OUT049,Medium,Tier 1,Supermarket Type1,1637.868
low fat,0.103,Hard Drinks,72.338,OUT049,Medium,Tier 1,Supermarket Type1,805.618
Low Fat,0.136160417,Household,119.6124,OUT049,Medium,Tier 1,Supermarket Type1,2251.7356
Regular,0.128966531,Meat,102.2674,OUT049,Medium,Tier 1,Supermarket Type1,2444.8176
Regular,0.142906377,Fruits and Vegetables,191.3188,OUT049,Medium,Tier 1,Supermarket Type1,1713.7692
Regular,0.182419755,Baking Goods,99.8042,OUT049,Medium,Tier 1,Supermarket Type1,1488.063
Regular,0.119622448,Fruits and Vegetables,50.2034,OUT049,Medium,Tier 1,Supermarket Type1,1166.4816
Low Fat,0.117482153,Health and Hygiene,182.295,OUT049,Medium,Tier 1,Supermarket Type1,3661.9
Regular,0.128205909,Canned,149.1418,OUT049,Medium,Tier 1,Supermarket Type1,1177.1344
Low Fat,0.214613921,Snack Foods,152.6998,OUT049,Medium,Tier 1,Supermarket Type1,3383.5956
Low Fat,0.216694957,Household,253.4724,OUT049,Medium,Tier 1,Supermarket Type1,6040.1376
Low Fat,0.138204319,Household,122.873,OUT049,Medium,Tier 1,Supermarket Type1,2832.979
Low Fat,0.149026479,Baking Goods,196.5084,OUT049,Medium,Tier 1,Supermarket Type1,3769.7596
Low Fat,0.155149675,Snack Foods,118.3124,OUT049,Medium,Tier 1,Supermarket Type1,1540.6612
Regular,0.129561057,Canned,93.712,OUT049,Medium,Tier 1,Supermarket Type1,466.06
Low Fat,0.144009558,Snack Foods,141.2496,OUT049,Medium,Tier 1,Supermarket Type1,2681.8424
Regular,0.103,Breads,101.699,OUT049,Medium,Tier 1,Supermarket Type1,2373.577
Low Fat,0.178845634,Household,156.0656,OUT049,Medium,Tier 1,Supermarket Type1,1853.5872
Low Fat,0.144459804,Fruits and Vegetables,39.2164,OUT049,Medium,Tier 1,Supermarket Type1,540.6296
Low Fat,0.116387211,Others,105.628,OUT049,Medium,Tier 1,Supermarket Type1,1065.28
Low Fat,0.163942632,Starchy Foods,225.6404,OUT049,Medium,Tier 1,Supermarket Type1,2925.5252
Regular,0.133616757,Fruits and Vegetables,112.7176,OUT049,Medium,Tier 1,Supermarket Type1,343.5528
Regular,0.247856342,Snack Foods,100.5332,OUT049,Medium,Tier 1,Supermarket Type1,1127.8652
Low Fat,0.150964395,Snack Foods,185.0898,OUT049,Medium,Tier 1,Supermarket Type1,2993.4368
Low Fat,0.208018817,Snack Foods,155.263,OUT049,Medium,Tier 1,Supermarket Type1,1721.093
Low Fat,0.156553794,Dairy,178.6002,OUT049,Medium,Tier 1,Supermarket Type1,3582.004
Regular,0.181181964,Meat,106.7596,OUT049,Medium,Tier 1,Supermarket Type1,4098.6648
Regular,0.138895934,Frozen Foods,244.4486,OUT049,Medium,Tier 1,Supermarket Type1,6353.0636
Low Fat,0.142980644,Snack Foods,227.3694,OUT049,Medium,Tier 1,Supermarket Type1,4567.388
Regular,0.112636821,Dairy,121.873,OUT049,Medium,Tier 1,Supermarket Type1,2463.46
Low Fat,0.189266286,Frozen Foods,147.2076,OUT049,Medium,Tier 1,Supermarket Type1,1921.4988
Low Fat,0.164883353,Dairy,147.905,OUT049,Medium,Tier 1,Supermarket Type1,1647.855
Low Fat,0.167241345,Hard Drinks,45.206,OUT049,Medium,Tier 1,Supermarket Type1,792.302
Low Fat,0.1844536,Others,36.819,OUT049,Medium,Tier 1,Supermarket Type1,768.999
LF,0.17907772,Baking Goods,112.4544,OUT049,Medium,Tier 1,Supermarket Type1,2348.9424
Regular,0.103,Fruits and Vegetables,193.0504,OUT049,Medium,Tier 1,Supermarket Type1,2492.7552
Low Fat,0.21711658,Health and Hygiene,158.8604,OUT049,Medium,Tier 1,Supermarket Type1,4436.8912
Regular,0.133890618,Canned,228.7352,OUT049,Medium,Tier 1,Supermarket Type1,5954.9152
Regular,0.167307102,Fruits and Vegetables,77.3012,OUT049,Medium,Tier 1,Supermarket Type1,1593.9252
Regular,0.201938169,Frozen Foods,195.7768,OUT049,Medium,Tier 1,Supermarket Type1,4138.6128
Regular,0.103,Fruits and Vegetables,208.5638,OUT049,Medium,Tier 1,Supermarket Type1,5383.6588
Regular,0.240858955,Frozen Foods,162.1236,OUT049,Medium,Tier 1,Supermarket Type1,2577.9776
Low Fat,0.240023446,Dairy,263.7568,OUT049,Medium,Tier 1,Supermarket Type1,7646.0472
reg,0.152712775,Fruits and Vegetables,78.2644,OUT049,Medium,Tier 1,Supermarket Type1,1492.7236
Low Fat,0.156527105,Health and Hygiene,185.1608,OUT049,Medium,Tier 1,Supermarket Type1,2388.8904
Regular,0.231459481,Baking Goods,102.0332,OUT049,Medium,Tier 1,Supermarket Type1,2050.664
reg,0.217294512,Dairy,94.9436,OUT049,Medium,Tier 1,Supermarket Type1,1229.0668
Low Fat,0.211059141,Snack Foods,181.7634,OUT049,Medium,Tier 1,Supermarket Type1,6179.9556
Low Fat,0.152016517,Household,128.7336,OUT049,Medium,Tier 1,Supermarket Type1,2173.1712
Regular,0.133672457,Snack Foods,253.1724,OUT049,Medium,Tier 1,Supermarket Type1,5285.1204
Regular,0.137658144,Breads,155.8288,OUT049,Medium,Tier 1,Supermarket Type1,1099.9016
Low Fat,0.270844438,Household,193.9136,OUT049,Medium,Tier 1,Supermarket Type1,3110.6176
Low Fat,0.161827557,Health and Hygiene,80.8618,OUT049,Medium,Tier 1,Supermarket Type1,1288.9888
Low Fat,0.151092816,Hard Drinks,159.2946,OUT049,Medium,Tier 1,Supermarket Type1,1893.5352
Regular,0.228469442,Snack Foods,264.491,OUT049,Medium,Tier 1,Supermarket Type1,6574.775
reg,0.174958197,Dairy,195.3794,OUT049,Medium,Tier 1,Supermarket Type1,3511.4292
Low Fat,0.135678839,Frozen Foods,150.7392,OUT049,Medium,Tier 1,Supermarket Type1,3131.9232
Regular,0.114443222,Snack Foods,73.5038,OUT049,Medium,Tier 1,Supermarket Type1,1478.076
Low Fat,0.118302653,Snack Foods,198.0084,OUT049,Medium,Tier 1,Supermarket Type1,793.6336
Low Fat,0.103,Baking Goods,148.705,OUT049,Medium,Tier 1,Supermarket Type1,1198.44
Low Fat,0.201775709,Household,208.927,OUT049,Medium,Tier 1,Supermarket Type1,7130.718
LF,0.136952603,Snack Foods,148.2076,OUT049,Medium,Tier 1,Supermarket Type1,3399.5748
Regular,0.103,Fruits and Vegetables,227.5694,OUT049,Medium,Tier 1,Supermarket Type1,3653.9104
Low Fat,0.161222587,Snack Foods,114.8834,OUT049,Medium,Tier 1,Supermarket Type1,3340.3186
Low Fat,0.169724663,Fruits and Vegetables,187.724,OUT049,Medium,Tier 1,Supermarket Type1,1491.392
Regular,0.202286298,Snack Foods,49.8666,OUT049,Medium,Tier 1,Supermarket Type1,563.9326
Low Fat,0.193111173,Dairy,141.3154,OUT049,Medium,Tier 1,Supermarket Type1,3261.7542
Low Fat,0.185970667,Household,60.0194,OUT049,Medium,Tier 1,Supermarket Type1,1114.5492
Low Fat,0.135152004,Canned,50.6008,OUT049,Medium,Tier 1,Supermarket Type1,404.8064
Low Fat,0.123229757,Household,260.8962,OUT049,Medium,Tier 1,Supermarket Type1,5956.9126
reg,0.28914827,Baking Goods,78.2328,OUT049,Medium,Tier 1,Supermarket Type1,1158.492
Low Fat,0.103,Fruits and Vegetables,128.4652,OUT049,Medium,Tier 1,Supermarket Type1,2841.6344
Low Fat,0.119852909,Hard Drinks,180.666,OUT049,Medium,Tier 1,Supermarket Type1,2876.256
Low Fat,0.109775667,Household,42.9112,OUT049,Medium,Tier 1,Supermarket Type1,1022.6688
Low Fat,0.123519478,Household,42.5112,OUT049,Medium,Tier 1,Supermarket Type1,852.224
Low Fat,0.132785889,Snack Foods,38.9822,OUT049,Medium,Tier 1,Supermarket Type1,628.5152
Low Fat,0.166127333,Canned,100.47,OUT049,Medium,Tier 1,Supermarket Type1,1597.92
Low Fat,0.131988288,Snack Foods,239.2222,OUT049,Medium,Tier 1,Supermarket Type1,6692.6216
Low Fat,0.220095014,Frozen Foods,78.067,OUT049,Medium,Tier 1,Supermarket Type1,1148.505
Low Fat,0.169887123,Frozen Foods,183.9292,OUT049,Medium,Tier 1,Supermarket Type1,3283.7256
Low Fat,0.174188446,Soft Drinks,111.9518,OUT049,Medium,Tier 1,Supermarket Type1,1138.518
Low Fat,0.147291251,Frozen Foods,43.3454,OUT049,Medium,Tier 1,Supermarket Type1,503.3448
Low Fat,0.203388706,Fruits and Vegetables,76.0328,OUT049,Medium,Tier 1,Supermarket Type1,1853.5872
Low Fat,0.175994847,Fruits and Vegetables,189.253,OUT049,Medium,Tier 1,Supermarket Type1,1328.271
Low Fat,0.280971115,Household,174.0422,OUT049,Medium,Tier 1,Supermarket Type1,2069.3064
Low Fat,0.132569276,Household,115.015,OUT049,Medium,Tier 1,Supermarket Type1,2912.875
Low Fat,0.111778413,Fruits and Vegetables,122.4414,OUT049,Medium,Tier 1,Supermarket Type1,1583.9382
Low Fat,0.116834247,Frozen Foods,62.7168,OUT049,Medium,Tier 1,Supermarket Type1,958.752
low fat,0.112893817,Health and Hygiene,50.3034,OUT049,Medium,Tier 1,Supermarket Type1,972.068
Low Fat,0.128519534,Dairy,238.7538,OUT049,Medium,Tier 1,Supermarket Type1,3605.307
Low Fat,0.162417055,Household,237.9248,OUT049,Medium,Tier 1,Supermarket Type1,2133.2232
Regular,0.161822142,Baking Goods,173.5422,OUT049,Medium,Tier 1,Supermarket Type1,3448.844
Low Fat,0.174368699,Frozen Foods,121.3098,OUT049,Medium,Tier 1,Supermarket Type1,1446.1176
Low Fat,0.137624104,Hard Drinks,115.0492,OUT049,Medium,Tier 1,Supermarket Type1,4054.722
Low Fat,0.155121825,Health and Hygiene,104.828,OUT049,Medium,Tier 1,Supermarket Type1,2343.616
Low Fat,0.126613955,Soft Drinks,192.8846,OUT049,Medium,Tier 1,Supermarket Type1,5350.3688
Low Fat,0.103,Others,65.0142,OUT049,Medium,Tier 1,Supermarket Type1,1120.5414
Low Fat,0.132827665,Soft Drinks,144.3444,OUT049,Medium,Tier 1,Supermarket Type1,2612.5992
Low Fat,0.152396364,Fruits and Vegetables,146.4734,OUT049,Medium,Tier 1,Supermarket Type1,3563.3616
Regular,0.127243294,Frozen Foods,116.0176,OUT049,Medium,Tier 1,Supermarket Type1,1603.2464
Low Fat,0.139729122,Frozen Foods,179.7976,OUT049,Medium,Tier 1,Supermarket Type1,2535.3664
Regular,0.179681143,Frozen Foods,110.7228,OUT049,Medium,Tier 1,Supermarket Type1,1657.842
Regular,0.226620492,Snack Foods,90.0514,OUT049,Medium,Tier 1,Supermarket Type1,1505.3738
Regular,0.180292302,Soft Drinks,235.3958,OUT049,Medium,Tier 1,Supermarket Type1,6309.7866
Regular,0.148763062,Snack Foods,38.4848,OUT049,Medium,Tier 1,Supermarket Type1,633.8416
Regular,0.111046878,Frozen Foods,78.7618,OUT049,Medium,Tier 1,Supermarket Type1,402.809
Low Fat,0.117653896,Baking Goods,82.425,OUT049,Medium,Tier 1,Supermarket Type1,749.025
Regular,0.177743226,Fruits and Vegetables,187.6556,OUT049,Medium,Tier 1,Supermarket Type1,5257.1568
Regular,0.148337184,Baking Goods,36.8874,OUT049,Medium,Tier 1,Supermarket Type1,564.5984
Regular,0.165797771,Frozen Foods,103.999,OUT049,Medium,Tier 1,Supermarket Type1,825.592
reg,0.194054989,Frozen Foods,231.8984,OUT049,Medium,Tier 1,Supermarket Type1,4633.968
Low Fat,0.24826636,Health and Hygiene,224.0404,OUT049,Medium,Tier 1,Supermarket Type1,3375.606
Low Fat,0.235876847,Dairy,98.0726,OUT049,Medium,Tier 1,Supermarket Type1,1076.5986
Low Fat,0.122536981,Household,170.0474,OUT049,Medium,Tier 1,Supermarket Type1,4211.185
Low Fat,0.206603094,Snack Foods,143.547,OUT049,Medium,Tier 1,Supermarket Type1,1431.47
Low Fat,0.207840884,Frozen Foods,122.1072,OUT049,Medium,Tier 1,Supermarket Type1,490.0288
Low Fat,0.124464454,Baking Goods,156.6288,OUT049,Medium,Tier 1,Supermarket Type1,3928.22
Low Fat,0.119637301,Frozen Foods,120.9098,OUT049,Medium,Tier 1,Supermarket Type1,1687.1372
Low Fat,0.158519561,Dairy,219.8114,OUT049,Medium,Tier 1,Supermarket Type1,1108.557
Regular,0.183765853,Frozen Foods,262.8936,OUT049,Medium,Tier 1,Supermarket Type1,4958.8784
Regular,0.157540159,Frozen Foods,152.1366,OUT049,Medium,Tier 1,Supermarket Type1,755.683
Low Fat,0.155149675,Soft Drinks,239.9564,OUT049,Medium,Tier 1,Supermarket Type1,3813.7024
Low Fat,0.153130529,Health and Hygiene,128.3336,OUT049,Medium,Tier 1,Supermarket Type1,2556.672
Regular,0.127987903,Fruits and Vegetables,97.341,OUT049,Medium,Tier 1,Supermarket Type1,1255.033
Regular,0.131167478,Fruits and Vegetables,45.5744,OUT049,Medium,Tier 1,Supermarket Type1,452.744
Low Fat,0.159379439,Frozen Foods,42.7454,OUT049,Medium,Tier 1,Supermarket Type1,293.6178
low fat,0.232534812,Household,190.1872,OUT049,Medium,Tier 1,Supermarket Type1,5105.3544
Low Fat,0.225843005,Hard Drinks,172.4396,OUT049,Medium,Tier 1,Supermarket Type1,1569.9564
Low Fat,0.152144165,Snack Foods,112.7176,OUT049,Medium,Tier 1,Supermarket Type1,1717.764
Low Fat,0.143577878,Fruits and Vegetables,188.224,OUT049,Medium,Tier 1,Supermarket Type1,1304.968
Low Fat,0.170400032,Household,41.9796,OUT049,Medium,Tier 1,Supermarket Type1,784.3124
Low Fat,0.175097449,Snack Foods,119.3098,OUT049,Medium,Tier 1,Supermarket Type1,1205.098
Regular,0.220543713,Baking Goods,197.311,OUT049,Medium,Tier 1,Supermarket Type1,3338.987
Regular,0.158644887,Breads,224.9088,OUT049,Medium,Tier 1,Supermarket Type1,2684.5056
Low Fat,0.130101431,Soft Drinks,151.7682,OUT049,Medium,Tier 1,Supermarket Type1,2439.4912
Low Fat,0.190805788,Fruits and Vegetables,126.7678,OUT049,Medium,Tier 1,Supermarket Type1,1907.517
LF,0.149556408,Fruits and Vegetables,47.7692,OUT049,Medium,Tier 1,Supermarket Type1,640.4996
Low Fat,0.28593775,Others,243.0196,OUT049,Medium,Tier 1,Supermarket Type1,3615.294
Regular,0.121051091,Frozen Foods,179.866,OUT049,Medium,Tier 1,Supermarket Type1,2696.49
Low Fat,0.103,Health and Hygiene,47.8034,OUT049,Medium,Tier 1,Supermarket Type1,437.4306
reg,0.103,Fruits and Vegetables,256.633,OUT049,Medium,Tier 1,Supermarket Type1,2050.664
Regular,0.166429818,Dairy,179.4318,OUT049,Medium,Tier 1,Supermarket Type1,2345.6134
Low Fat,0.215097433,Frozen Foods,105.5622,OUT049,Medium,Tier 1,Supermarket Type1,1905.5196
Low Fat,0.125831052,Fruits and Vegetables,160.292,OUT049,Medium,Tier 1,Supermarket Type1,4793.76
Regular,0.179878416,Snack Foods,113.9518,OUT049,Medium,Tier 1,Supermarket Type1,1138.518
Regular,0.196801337,Snack Foods,126.0704,OUT049,Medium,Tier 1,Supermarket Type1,1251.704
Low Fat,0.221858866,Household,263.291,OUT049,Medium,Tier 1,Supermarket Type1,3418.883
Regular,0.149881328,Canned,141.3838,OUT049,Medium,Tier 1,Supermarket Type1,1685.8056
Regular,0.178625152,Breads,145.7444,OUT049,Medium,Tier 1,Supermarket Type1,3193.1768
Low Fat,0.202804623,Snack Foods,113.7544,OUT049,Medium,Tier 1,Supermarket Type1,3243.7776
Low Fat,0.196441604,Snack Foods,119.1124,OUT049,Medium,Tier 1,Supermarket Type1,3673.8844
Low Fat,0.118484763,Frozen Foods,211.9928,OUT049,Medium,Tier 1,Supermarket Type1,631.1784
Regular,0.122965179,Frozen Foods,130.531,OUT049,Medium,Tier 1,Supermarket Type1,908.817
Regular,0.186643716,Canned,196.0426,OUT049,Medium,Tier 1,Supermarket Type1,2570.6538
Low Fat,0.137360687,Household,215.7218,OUT049,Medium,Tier 1,Supermarket Type1,4274.436
Regular,0.240580452,Meat,182.8608,OUT049,Medium,Tier 1,Supermarket Type1,4042.7376
Low Fat,0.111960445,Meat,119.1756,OUT049,Medium,Tier 1,Supermarket Type1,1696.4584
Low Fat,0.112791467,Others,213.256,OUT049,Medium,Tier 1,Supermarket Type1,4687.232
Regular,0.133198228,Baking Goods,98.2384,OUT049,Medium,Tier 1,Supermarket Type1,2167.8448
